"id","date","user","text"
1467810369,2026-01-01,"_TheSpecialOne_","@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
1467810672,2026-01-02,"scotthamilton","is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!"
1467810917,2026-01-03,"mattycus","@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds"
1467811184,2026-01-04,"ElleCTF","my whole body feels itchy and like its on fire "
1467811193,2026-01-05,"Karoli","@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
1467811372,2026-01-06,"joy_wolf","@Kwesidei not the whole crew "
1467811592,2026-01-07,"mybirch","Need a hug "
1467811594,2026-01-08,"coZZ","@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
1467811795,2026-01-09,"2Hood4Hollywood","@Tatiana_K nope they didn't have it "
1467812025,2026-01-10,"mimismo","@twittera que me muera ? "
1467812416,2026-01-11,"erinx3leannexo","spring break in plain city... it's snowing "
1467812579,2026-01-12,"pardonlauren","I just re-pierced my ears "
1467812723,2026-01-13,"TLeC","@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . ."
1467812771,2026-01-14,"robrobbierobert","@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
1467812784,2026-01-15,"bayofwolves","@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
1467812799,2026-01-16,"HairByJess","@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!"
1467812964,2026-01-17,"lovesongwriter","Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?"
1467813137,2026-01-18,"armotley","about to file taxes "
1467813579,2026-01-19,"starkissed","@LettyA ahh ive always wanted to see rent  love the soundtrack!!"
1467813782,2026-01-20,"gi_gi_bee","@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? "
1467813985,2026-01-21,"quanvu","@alydesigns i was out most of the day so didn't get much done "
1467813992,2026-01-22,"swinspeedx","one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
1467814119,2026-01-23,"cooliodoc","@angry_barista I baked you a cake but I ated it "
1467814180,2026-01-24,"viJILLante","this week is not going as i had hoped "
1467814192,2026-01-25,"Ljelli3166","blagh class at 8 tomorrow "
1467814438,2026-01-26,"ChicagoCubbie","I hate when I have to call and wake people up "
1467814783,2026-01-27,"KatieAngell","Just going to cry myself to sleep after watching Marley and Me.  "
1467814883,2026-01-28,"gagoo","im sad now  Miss.Lilly"
1467815199,2026-01-29,"abel209","ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again "
1467815753,2026-01-30,"BaptisteTheFool","Meh... Almost Lover is the exception... this track gets me depressed every time. "
1467815923,2026-01-31,"fatkat309","some1 hacked my account on aim  now i have to make a new one"
1467815924,2026-02-01,"EmCDL","@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though"
1467815988,2026-02-02,"merisssa","thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! "
1467816149,2026-02-03,"Pbearfox","@julieebaby awe i love you too!!!! 1 am here  i miss you"
1467816665,2026-02-04,"jsoo","@HumpNinja I cry my asian eyes to sleep at night "
1467816749,2026-02-05,"scarletletterm","ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now "
1467817225,2026-02-06,"crosland_12","@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours..."
